iteration, error, time, P-term, I-term, D-term, left PWM, right PWM
389, -213, 1980708.0, -7.1, 0, -445.5, 0, 70
390, -211, 1985822.0, -7.03333333333, 0, 4.5, 67.4666666667, 70
391, -177, 1990861.0, -5.9, 0, 76.5, 70, 0
392, -368, 1995932.0, -12.2666666667, 0, -429.75, 0, 70
393, -405, 2001013.0, -13.5, 0, -83.25, 0, 70
394, -415, 2006184.0, -13.8333333333, 0, -22.5, 33.6666666667, 70
395, -425, 2011231.0, -14.1666666667, 0, -22.5, 33.3333333333, 70
396, -466, 2016315.0, -15.5333333333, 0, -92.25, 0, 70
397, -442, 2021411.0, -14.7333333333, 0, 54.0, 70, 30.7333333333
398, -430, 2026446.0, -14.3333333333, 0, 27.0, 70, 57.3333333333
399, -588, 2031586.0, -19.6, 0, -355.5, 0, 70
400, -628, 2036638.0, -20.9333333333, 0, -90.0, 0, 70
401, -689, 2041704.0, -22.9666666667, 0, -137.25, 0, 70
402, -797, 2046843.0, -26.5666666667, 0, -243.0, 0, 70
403, -835, 2051870.0, -27.8333333333, 0, -85.5, 0, 70
404, -865, 2056990.0, -28.8333333333, 0, -67.5, 0, 70
405, -758, 2062031.0, -25.2666666667, 0, 240.75, 70, 0
406, -857, 2067106.0, -28.5666666667, 0, -222.75, 0, 70
407, -761, 2072186.0, -25.3666666667, 0, 216.0, 70, 0
408, -773, 2077315.0, -25.7666666667, 0, -27.0, 17.2333333333, 70
409, -719, 2082389.0, -23.9666666667, 0, 121.5, 70, 0
410, -654, 2087453.0, -21.8, 0, 146.25, 70, 0
411, -576, 2092541.0, -19.2, 0, 175.5, 70, 0
412, -688, 2097614.0, -22.9333333333, 0, -252.0, 0, 70
413, -548, 2102699.0, -18.2666666667, 0, 315.0, 70, 0
414, -449, 2107783.0, -14.9666666667, 0, 222.75, 70, 0
